sha256,canonical_path,removed_path,canonical_split,removed_split,label,reason
c4163a5137bff04443975221ee8d304ae7b894f5ed8f1c0cad05136f3aecae1c,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\000_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\000_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
4e35d8b1555302223de904680e0afb40f510bd35cfcf1fffd319143a39b7b340,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\001_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\001_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
99b9c02f3038721d6f78c9502247efe54a51458121b6a1ed9ced303b6a3f553f,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\002_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\002_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
c66f60d263c6c4343f056fef28f5f220106035a94e88d970181d86ba9108e67e,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\003_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\003_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
8f55d9064db9ef92d91ddbf3bdff6bb337da725ae11edbfd2dd8dc2358daa7c5,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\004_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\004_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
020632c948b6017e51defa000ed29349e631f0379ad9390a79c0ce7c16891906,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\005_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\005_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
d6bba2eea9c9869bd4deae08b59e157025557a483e9c1100a4f951cd03e1f1e3,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\006_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\006_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
998bb9b8d594c7b2fbf9079525c634af7f37e29da8f6f5c596a69162fedeb269,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\007_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\007_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
3321c452463fb7ea4ea7e78dda3909a563f2b986934f3a393f8524868bfd2540,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\008_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\008_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
fdf633a4eb33908f42226705188032f59d89eecef028ec186e9d4f1f687a142f,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\147\009_Drusen.tif,D:\AIUB\DSP\Code\Datasets\NEH_UT_2021RetinalOCTDataset\NEH_UT_2021RetinalOCTDataset_V2\CNV\26\009_Drusen.tif,unknown,unknown,DRUSEN,sha256_exact_duplicate_keep_one
