sha256,canonical_path,removed_path,canonical_split,removed_split,label,reason
82c423e1cd3406ed8e26499bcd44902c9e847bb606ee91c29e8d8cb881aa41e6,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-1.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-2.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
82c423e1cd3406ed8e26499bcd44902c9e847bb606ee91c29e8d8cb881aa41e6,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-1.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-3.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
ff670335ca83f7493efcacdb923e695886e1eabf4ef38e09816f1396ca4ff7c4,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-10.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-11.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
ff670335ca83f7493efcacdb923e695886e1eabf4ef38e09816f1396ca4ff7c4,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-10.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-12.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
c74a1dca16e95d05574300d3013125bdb0c1de9570d90ed6bf61956672e5645b,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-100.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-98.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
c74a1dca16e95d05574300d3013125bdb0c1de9570d90ed6bf61956672e5645b,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-100.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-99.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
78c70c8858f61dd8f38d43435662f9eafd6caf24f268804f69d058a57e7d28a1,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-101.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-102.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
78c70c8858f61dd8f38d43435662f9eafd6caf24f268804f69d058a57e7d28a1,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-101.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-103.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
129a2ed56e413ad4533eac4d5aa11020d2ae35429eb1336816ef3f726fc72354,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-104.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-105.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
129a2ed56e413ad4533eac4d5aa11020d2ae35429eb1336816ef3f726fc72354,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-104.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-106.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
a0679cbb07acfbbf5f4582647b5ce7445857d63847d52ced4c1dbdeb9f1b0c85,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-107.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-108.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
a0679cbb07acfbbf5f4582647b5ce7445857d63847d52ced4c1dbdeb9f1b0c85,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-107.jpeg,D:\AIUB\DSP\Code\Datasets\ZhangLabData\CellData\OCT\train\CNV\CNV-1016042-109.jpeg,train,train,CNV,sha256_exact_duplicate_keep_one
