sha256,canonical_path,removed_path,canonical_split,removed_split,label,reason
4df81d98573f401a85c5c9207f8a96279de4d2d43f17ab9dc4df0a58f0644806,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_418.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_425.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
ed3a17078ff6d96d8e5f6ebb4c19ee238ac4d84f83d7f8114bc5ff48d55d875c,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_436.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_443.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
5e8c4669f5f0460f1ff3670817d080cf55623ddc1ae7472fa0847a732d6447b3,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_437.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_444.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
b6a23ee6553804bf67b216d06b52b156c18b191046352975667ce5e8117aee8c,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_439.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_445.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
5e19e9a62cd0bfa606cb355299905a1571445a73aea68ef135c70721df8f65e8,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_440.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_446.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
10a9be91690ee4f0661ce730949f26457dcf49c555da3db805ef8c27a2964b9a,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_441.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_447.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
583599a4d856d50a53ce034d8206d1b2e83969d879cc4030555a4bab06446262,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_442.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_448.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
9dab55bee5bb4c4e543e6e2cd5f0ac78b5f7b765617f750edfc065d6b0b5cf7f,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_449.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_454.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
7d419d5ab248be204c0e45b2589291b96cf19658c23902e964bff3fa94b2a80c,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_450.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_455.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
dc4c6dd231ae45ff6bc7e576475ee1c27d65cf2c05356c5711841190e9885f98,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_452.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_456.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
e780a2ceffb832891be263cb0054b8cfb198173c08fa6f89fd126d4d589caee4,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_492.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_505.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
df66bb9146b2488550c3ab3e576ebae35481d360b79ee3b21f9a1a8d15cb2a27,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_493.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_506.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
0e31af081378f4b810455998bff12d1f5c27b9244b7444043195a7525b98f16a,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_495.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_507.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
bad2c6d94a3230ab163dc251eacbf1942f78120050d8cc1a86d97e6c15cdb953,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_583.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_668.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
4ce8eca8b3131b20222b99386ca627b8fae0640de7ac5237ee311bde926da6eb,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_586.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_675.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
8af588b375950cd353ade56a5537d51986bbb45a15d71e0cc6bcbe7fa8426baf,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_587.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_676.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
e355919cce190fa132485dcd0f0d20f0fc7f92c0d90b5c5cb1ac59e34a6a93db,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_588.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_677.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
4322fa97e580e88a67e73ae8d7e764320039aa0b829c43fc767e306c31906bf6,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_589.jpg,D:\AIUB\DSP\Code\Datasets\THOCT1800\THOCT1800\AMD\aligned_amd_binary_cropped_681.jpg,unknown,unknown,AMD,sha256_exact_duplicate_keep_one
