,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.9449275362318841,0.9314285714285714,0.9381294964028777,350.0
CSR,1.0,1.0,1.0,350.0
DME,0.9766081871345029,0.9570200573065902,0.9667149059334298,349.0
DR,1.0,1.0,1.0,350.0
DRUSEN,0.9226190476190477,0.8882521489971347,0.9051094890510949,349.0
MH,1.0,1.0,1.0,350.0
NORMAL,0.9144385026737968,0.9799426934097422,0.946058091286307,349.0
accuracy,0.9696102967465141,0.9696102967465141,0.9696102967465141,0.9696102967465141
macro avg,0.969824159207404,0.9695804338927547,0.9695014978342136,2797.0
weighted avg,0.9698584126003946,0.9696102967465141,0.9695338975507786,2797.0
