,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.9702380952380952,0.9314285714285714,0.9504373177842566,350.0
CSR,1.0,1.0,1.0,350.0
DME,0.985207100591716,0.9541547277936963,0.9694323144104804,349.0
DR,1.0,1.0,1.0,350.0
DRUSEN,0.923943661971831,0.9398280802292264,0.9318181818181818,349.0
MH,1.0,1.0,1.0,350.0
NORMAL,0.9320652173913043,0.9828080229226361,0.9567642956764296,349.0
accuracy,0.9760457633178405,0.9760457633178405,0.9760457633178405,0.9760457633178405
macro avg,0.9764317593991183,0.9760274252967662,0.9760565137111685,2797.0
weighted avg,0.9764632500313108,0.9760457633178405,0.976081595852473,2797.0
