,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.9197707736389685,0.9171428571428571,0.9184549356223176,350.0
CSR,0.9971509971509972,1.0,0.9985734664764622,350.0
DME,0.9510086455331412,0.9455587392550143,0.9482758620689655,349.0
DR,1.0,0.9942857142857143,0.997134670487106,350.0
DRUSEN,0.9118541033434651,0.8595988538681948,0.8849557522123894,349.0
MH,0.9971509971509972,1.0,0.9985734664764622,350.0
NORMAL,0.9059139784946236,0.9656160458452722,0.9348127600554785,349.0
accuracy,0.9603146228101538,0.9603146228101538,0.9603146228101538,0.9603146228101538
macro avg,0.9603561869140241,0.9602752762996316,0.9600976141748976,2797.0
weighted avg,0.9603963341551291,0.9603146228101538,0.9601377459118258,2797.0
