,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.8956043956043956,0.9314285714285714,0.9131652661064426,350.0
CSR,1.0,0.9971428571428571,0.9985693848354793,350.0
DME,0.9843260188087775,0.8997134670487106,0.9401197604790419,349.0
DR,0.9943181818181818,1.0,0.9971509971509972,350.0
DRUSEN,0.8808139534883721,0.8681948424068768,0.8744588744588745,349.0
MH,1.0,0.9971428571428571,0.9985693848354793,350.0
NORMAL,0.9,0.9541547277936963,0.9262865090403338,349.0
accuracy,0.9560243117626028,0.9560243117626028,0.9560243117626028,0.9560243117626028
macro avg,0.9568828187149658,0.9559721653704462,0.9560400221133311,2797.0
weighted avg,0.9569205407327878,0.9560243117626028,0.9560855190466031,2797.0
