,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.8925081433224755,0.7828571428571428,0.8340943683409436,350.0
CSR,0.9476584022038568,0.9828571428571429,0.9649368863955119,350.0
DME,0.940251572327044,0.8567335243553008,0.896551724137931,349.0
DR,0.9706744868035191,0.9457142857142857,0.9580318379160637,350.0
DRUSEN,0.7480519480519481,0.8252148997134671,0.784741144414169,349.0
MH,0.9740634005763689,0.9657142857142857,0.96987087517934,350.0
NORMAL,0.805699481865285,0.8911174785100286,0.8462585034013606,349.0
accuracy,0.9063282087951376,0.9063282087951376,0.9063282087951376,0.9063282087951376
macro avg,0.9098634293938122,0.9062760949652068,0.9068106674731651,2797.0
weighted avg,0.9099476579551053,0.9063282087951376,0.906879627298144,2797.0
