,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.9452449567723343,0.9371428571428572,0.9411764705882353,350.0
CSR,1.0,1.0,1.0,350.0
DME,0.9878419452887538,0.9312320916905444,0.9587020648967551,349.0
DR,1.0,0.9942857142857143,0.997134670487106,350.0
DRUSEN,0.9402985074626866,0.9025787965616046,0.9210526315789473,349.0
MH,0.9943181818181818,1.0,0.9971509971509972,350.0
NORMAL,0.8989637305699482,0.994269340974212,0.9442176870748299,349.0
accuracy,0.9699678226671433,0.9699678226671433,0.9699678226671433,0.9699678226671433
macro avg,0.9708334152389881,0.9699386000818666,0.9699293152221089,2797.0
weighted avg,0.9708639465448142,0.9699678226671433,0.9699599965099587,2797.0
