,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.9563953488372093,0.94,0.9481268011527377,350.0
CSR,1.0,1.0,1.0,350.0
DME,0.9821428571428571,0.9455587392550143,0.9635036496350365,349.0
DR,1.0,1.0,1.0,350.0
DRUSEN,0.9425287356321839,0.9398280802292264,0.9411764705882353,349.0
MH,1.0,1.0,1.0,350.0
NORMAL,0.9349593495934959,0.9885386819484241,0.9610027855153204,349.0
accuracy,0.9767608151590991,0.9767608151590991,0.9767608151590991,0.9767608151590991
macro avg,0.9770032864007183,0.9767406876790831,0.9767262133614163,2797.0
weighted avg,0.9770288062136726,0.9767608151590991,0.9767492722582148,2797.0
