,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.9582089552238806,0.9171428571428571,0.9372262773722628,350.0
CSR,1.0,1.0,1.0,350.0
DME,0.9712643678160919,0.9684813753581661,0.96987087517934,349.0
DR,0.9915014164305949,1.0,0.9957325746799431,350.0
DRUSEN,0.9011299435028248,0.9140401146131805,0.9075391180654339,349.0
MH,1.0,0.9914285714285714,0.9956958393113343,350.0
NORMAL,0.9333333333333333,0.9627507163323782,0.9478138222849083,349.0
accuracy,0.9692527708258849,0.9692527708258849,0.9692527708258849,0.9692527708258849
macro avg,0.9694297520383407,0.9692304543593941,0.9692348133616528,2797.0
weighted avg,0.9694664204729002,0.9692527708258849,0.969264302322881,2797.0
