,precision,recall,f1-score,support
AMD,1.0,1.0,1.0,350.0
CNV,0.9482758620689655,0.9428571428571428,0.9455587392550143,350.0
CSR,1.0,1.0,1.0,350.0
DME,0.962536023054755,0.9570200573065902,0.9597701149425287,349.0
DR,1.0,0.9942857142857143,0.997134670487106,350.0
DRUSEN,0.9233038348082596,0.8968481375358166,0.9098837209302325,349.0
MH,0.9943181818181818,1.0,0.9971509971509972,350.0
NORMAL,0.9201101928374655,0.9570200573065902,0.9382022471910112,349.0
accuracy,0.9685377189846264,0.9685377189846264,0.9685377189846264,0.9685377189846264
macro avg,0.9685680118234534,0.9685038886614817,0.9684625612446112,2797.0
weighted avg,0.9686036764586946,0.9685377189846264,0.9684974313199313,2797.0
